TerminalID;ProjectID;ComboID;Country;Region;Wiki;TerminalName;UnitName;OtherEnglishNames;Owner;Parent;Status;StartYear1;StartYear2;StartYear3;StopYear;Import/Export;Capacity;CapacityUnits;CapacityInMtpa;Location;Prefecture/District;State/Province;Latitude;Longitude;Accuracy;Floating;FID;FIDYear;OtherLanguageName;PowerPlantsSupplied;OtherLanguageWikiPage
T0293;9;T029309;Malaysia;SE Asia;https://www.gem.wiki/Malaysia_LNG_Terminal_Train_9;Malaysia LNG Terminal;T9;Petronas Bintulu LNG Complex, Petronas LNG 9, MLNG T9;"Petronas [70.00%]; ENEOS Corporation [10.00%]; Government of Sarawak [10.00%]; PTT [10.00%]";"Petronas [70.00%]; ENEOS Corporation [10.00%]; Government of Sarawak [10.00%]; PTT [10.00%]";Operating;2016;;;;Export;3.6;mtpa;3.6;Bintulu;;Sarawak;3.2903;113.087;exact;;;;;;
T0294;1;T029401;Malaysia;SE Asia;https://www.gem.wiki/Satu_Malaysia_Terminal;Satu Malaysia Terminal;T1;Petronas Bintulu LNG Complex;"Petronas [90.00%]; Government of Sarawak [5.00%]; Mitsubishi [5.00%]";"Petronas [90.00%]; Government of Sarawak [5.00%]; Mitsubishi [5.00%]";Operating;1983;;;;Export;2.8;mtpa;2.8;Bintulu;;Sarawak;3.2851;113.08114;exact;;;;;;
T0294;2;T029402;Malaysia;SE Asia;https://www.gem.wiki/Satu_Malaysia_Terminal;Satu Malaysia Terminal;T2;Petronas Bintulu LNG Complex;"Petronas [90.00%]; Government of Sarawak [5.00%]; Mitsubishi [5.00%]";"Petronas [90.00%]; Government of Sarawak [5.00%]; Mitsubishi [5.00%]";Operating;1983;;;;Export;2.8;mtpa;2.8;Bintulu;;Sarawak;3.2851;113.08114;exact;;;;;;
T0294;3;T029403;Malaysia;SE Asia;https://www.gem.wiki/Satu_Malaysia_Terminal;Satu Malaysia Terminal;T3;Petronas Bintulu LNG Complex;"Petronas [90.00%]; Government of Sarawak [5.00%]; Mitsubishi [5.00%]";"Petronas [90.00%]; Government of Sarawak [5.00%]; Mitsubishi [5.00%]";Operating;1983;;;;Export;2.8;mtpa;2.8;Bintulu;;Sarawak;3.2851;113.08114;exact;;;;;;
T0295;7;T029507;Malaysia;SE Asia;https://www.gem.wiki/Tiga_Malaysia_LNG_Terminal;Tiga Malaysia LNG Terminal;T7;Petronas Bintulu LNG Complex;"Petronas [60.00%]; Government of Sarawak [25.00%]; PTT [10.00%]; Diamond Gas [5.00%]";"Petronas [60.00%]; Government of Sarawak [25.00%]; PTT [10.00%]; Mitsubishi [5.00%]";Operating;2003;;;;Export;3.6;mtpa;3.6;Bintulu;;Sarawak;3.29033;113.08767;exact;;;;;;
T0295;8;T029508;Malaysia;SE Asia;https://www.gem.wiki/Tiga_Malaysia_LNG_Terminal;Tiga Malaysia LNG Terminal;T8;Petronas Bintulu LNG Complex;"Petronas [60.00%]; Government of Sarawak [25.00%]; PTT [10.00%]; Diamond Gas [5.00%]";"Petronas [60.00%]; Government of Sarawak [25.00%]; PTT [10.00%]; Mitsubishi [5.00%]";Operating;2003;;;;Export;3.6;mtpa;3.6;Bintulu;;Sarawak;3.29033;113.08767;exact;;;;;;
T0297;0;T029700;Pakistan;South Asia;https://www.gem.wiki/Mashal_LNG_Terminal;Mashal LNG Terminal;;;4Gas [100.00%];4Gas [100.00%];Cancelled;;;;;Import;3.5;mtpa;3.5;Port Qasim;Karachi;Sindh;24.766667;67.333333;approximate;;;;;;
T0298;0;T029800;Pakistan;South Asia;https://www.gem.wiki/Engro_Elengy_FSRU;Engro Elengy FSRU;;Port Qasim Karachi;ETPL [200.00%];"Engro Corporation [51.00%]; Vopak [49.00%]";Operating;2015;;;;Import;4.8;mtpa;4.8;Port Qasim;Karachi;Sindh;24.7907232;67.3688752;exact;yes;;;;;
T0298;1;T029801;Pakistan;South Asia;https://www.gem.wiki/Engro_Elengy_FSRU;Engro Elengy FSRU;Expansion (Replacement);Port Qasim Karachi Expansion;ETPL [200.00%];"Engro Corporation [51.00%]; Vopak [49.00%]";Proposed;2022;;;;Import;5.9;mtpa;5.9;Port Qasim;Karachi;Sindh;24.769704;67.334731;approximate;yes;;;;;
T0299;0;T029900;Pakistan;South Asia;https://www.gem.wiki/GasPort_FSRU;GasPort FSRU;;Pakistan FSRU 2, Port Qasim GasPort;Pakistan GasPort Consortium Limited [100.00%];Pakistan Gasport Limited [100.00%];Operating;2017;;;;Import;5.6;mtpa;5.6;Port Qasim;Karachi;Sindh;24.7749916;67.288333;exact;yes;;;;;
T0300;0;T030000;Pakistan;South Asia;https://www.gem.wiki/Gwadar_LNG_Terminal;Gwadar LNG Terminal;;Gwadar Port LNG Terminal, Gwadar-Nawabshah LNG Terminal;Daewoo Gas [100.00%];Asiapak Investments [100.00%];Proposed;;;;;Import;3.65;mtpa;3.65;Gwadar Port;;Balochistan;25.1106;62.3396;exact;;;;;;
T0302;1;T030201;Papua New Guinea;SE Asia;https://www.gem.wiki/Liquid_Niugini_FLNG_Terminal;Liquid Niugini FLNG Terminal;;;"ExxonMobil [unknown %]; Pacific LNG Operations [unknown %]";"ExxonMobil [unknown %]; Pacific LNG Operations [unknown %]";Cancelled;;;;;Export;5;mtpa;5;Port Moresby;;National Capital District;-9.478472;147.148058;approximate;yes;;;;;
T0303;1;T030301;Papua New Guinea;SE Asia;https://www.gem.wiki/Papua_LNG_Terminal_(Total);Papua LNG Terminal (Total);T1;Caution Bay LNG Terminal;"TotalEnergies [31.10%]; ExxonMobil [28.70%]; Government of Papua New Guinea [22.50%]; Santos [17.70%]";"TotalEnergies [31.10%]; ExxonMobil [28.70%]; Government of Papua New Guinea [22.50%]; Santos [17.70%]";Proposed;2027;;;;Export;2.7;mtpa;2.7;Caution Bay;;Central Province;-9.3392748;146.9872856;exact;;Pre-FID;2023;;;
